zinc_id,smiles
ZINC000000000088,C=CCC1=C(C)[C@@H](OC(=O)[C@H]2[C@@H](C=C(C)C)C2(C)C)CC1=O
ZINC000000000091,C[C@H](C(=O)O)c1nc(-c2ccc(Br)cc2)cs1
ZINC000000000092,COc1cc(C[C@@H](C)N)c(OC)cc1Br
ZINC000000000093,COc1ccc(C(=O)/C(Br)=C/C(=O)O)cc1
ZINC000000000095,CN(C)CCO[C@H](c1ccccc1)c1ccc(Br)cc1
ZINC000000000096,CN(C)CC[C@@H](c1ccc(Br)cc1)c1ccccn1
ZINC000000000098,CC(C)(C)NC[C@H](O)c1cc(Br)no1
ZINC000000000099,CCOc1ccc(NC(=O)C[C@@H](C)O)cc1
ZINC000000000100,Cc1ccc(OC[C@H](O)CNC(C)(C)C)c2oc(=O)ccc12
ZINC000000000101,CC(C)(C)NC[C@@H](O)COc1ccccc1OC[C@@H]1CCCO1
ZINC000000000102,CCc1cccc2cc([C@H](O)CNC(C)(C)C)oc12
ZINC000000000103,COc1ccc2c(c1O)-c1c3c(cc4c1[C@H](C2)N(C)CC4)OCO3
ZINC000000000104,CC(C)(C)NC[C@@H](O)COc1ccccc1C#N
ZINC000000000106,Cc1ccc(Cl)c(OC[C@@H](O)CNC(C)(C)C)c1
ZINC000000000109,CC(C)C(=O)Nc1cccc([C@@H]2CN3CCSC3=N2)c1
ZINC000000000111,CC[C@H](C(=O)O)c1ccc(-c2ccccc2)cc1
ZINC000000000112,CCCC(=O)c1cc(F)ccc1OC[C@H](O)CNC(C)(C)C
ZINC000000000113,CCOC(=O)NNc1ccc(N(CC)C[C@@H](C)O)nn1
ZINC000000000114,O=C(CCCn1cccn1)N1CCN(c2cc(C(F)(F)F)nc(-c3ccccc3)n2)CC1
ZINC000000000115,O=C(O)[C@H]1CCc2cc(OCCn3ccnc3)ccc21
ZINC000000000116,CC1(C)[C@H]2CC[C@]1(C)C(=O)[C@H]2Br
ZINC000000000118,NC(=O)N1c2ccccc2C2O[C@@H]2c2ccccc21
ZINC000000000120,C[C@@]1(c2nc(-c3ccccc3)no2)CCCN(CCCC#N)C1
ZINC000000000122,CN(C)CCO[C@@H](c1ccc(Cl)cc1)c1ccccn1
ZINC000000000123,CN1C(=O)CN(C(N)=O)[C@H](c2ccccc2)c2cc(Cl)ccc21
ZINC000000000124,CC(C)(C)NC[C@@H](O)c1ccc(O)c(NC(N)=O)c1
ZINC000000000125,C#C[C@H](OC(N)=O)c1ccccc1
ZINC000000000127,CC(C)OC(=O)c1cc2c(OC[C@H](O)CNC(C)(C)C)cccc2[nH]1
ZINC000000000128,CC(C)(C)NC[C@@H](O)COc1cccc2c1CCC(=O)N2
ZINC000000000129,CCCC(=O)O[C@@H]1CN2CC[C@@H](O)[C@@H]2[C@H](O)[C@H]1O
ZINC000000000130,CN(C)[C@@](C)(CO)Cc1ccc(Cl)c(Cl)c1
ZINC000000000131,CNC(=O)COc1ccccc1OC[C@H](O)CNC(C)(C)C
ZINC000000000132,O=C(OCCN1CCCCCC1)[C@@H](c1ccsc1)C1CCCCC1
ZINC000000000133,CN1C(=O)CCS(=O)(=O)[C@H]1c1ccc(Cl)cc1
ZINC000000000134,NC(=O)NC(=O)[C@@H](Cl)c1ccccc1
ZINC000000000135,OC[C@@H](O)COc1ccc(Cl)cc1
ZINC000000000136,NC(=O)OC[C@@H](O)COc1ccc(Cl)cc1
ZINC000000000137,CN(C)CCO[C@](C)(c1ccccc1)c1ccc(Cl)cc1
ZINC000000000138,O=C1N[C@H](CCCl)Oc2ccccc21
ZINC000000000139,CN1C[C@@H](C[C@H](C#N)C(N)=O)C[C@@H]2c3cccc4[nH]cc(c34)C[C@H]21
ZINC000000000140,C[C@H]1C[C@@H](OC(=O)[C@@H](C)O)CC(C)(C)C1
ZINC000000000141,C[C@]1(c2nc(-c3ccccc3)no2)CCCN(CCCC#N)C1
ZINC000000000142,O[C@]1(c2cccc(Cl)c2)C2=NCCCN2c2ccccc21
ZINC000000000144,C[C@H](C(=O)O)c1ccc2c(c1)Cc1ccccc1-2
ZINC000000000145,c1ccc(C2(c3ccccc3)C[C@@H]2C2=NCCN2)cc1
ZINC000000000146,COc1ccccc1CN(C(=O)CCCN1CCOCC1)c1ccccc1
ZINC000000000148,C[C@H](CCN(C)C)Nc1cc(O)cc2cccnc12
ZINC000000000149,COC[C@@H]1CN(c2ccc(OCc3cccc(C#N)c3)cc2)C(=O)O1
ZINC000000000150,COC(=O)/C=C/c1ccccc1OC[C@H](O)CNC(C)C
ZINC000000000151,C[C@@H]([C@@H](O)c1ccccc1)N(C)C/C=C/c1ccccc1
ZINC000000000152,O=C1C(C[C@@H]2CCCO2)C(=O)N2c3ccccc3-c3ccccc3N12
ZINC000000000153,COc1cc(/C=C/C(=O)N2CCCCCCC2)cc(OC)c1OC
ZINC000000000154,COc1ccc2c(c1)c(-c1ccccc1)nc(=O)n2CC1CC1
ZINC000000000155,CN(C)[C@@H](c1cccc(O)c1)[C@@H]1CCCC[C@@H]1O
ZINC000000000156,CN1CCC2=C(CC1)c1cc(C#N)ccc1Sc1ccccc12
ZINC000000000157,CC1(C)CC(=O)CC(C)(C)N1Cc1cccnc1
ZINC000000000158,C=CCc1cccc(OC)c1OCCN(CC)CC
ZINC000000000159,N=C(NOCc1nc(C2CC2)no1)c1ccccn1
ZINC000000000161,CN(C)C[C@@H](O)[C@H](c1ccccc1)c1cccc(Cl)c1
ZINC000000000162,C[C@@H](CC(=O)Nc1ccc(Cl)cc1Cl)N1CCCCC1
ZINC000000000163,O=C(O)[C@H]1CCc2cc(C3CCCCC3)c(Cl)cc21
ZINC000000000164,CC(C)(C)C(=O)[C@H](Oc1ccc(Cl)cc1)n1ccnc1
ZINC000000000165,C[C@H](C(=O)O)c1ccc(C(=O)c2cccs2)c(Cl)c1
ZINC000000000166,C[C@H](CN(C)C)[C@](C)(O)Cc1ccc(Cl)cc1
ZINC000000000167,C[C@H]1[C@H]2CC[C@H](C2)[C@H]1CN(CCO)C(=O)c1ccc(Cl)cc1
ZINC000000000169,CN(C)CCC[C@H]1c2ccccc2Nc2ccc(Cl)cc21
ZINC000000000171,Cc1c(Cl)cccc1Nc1ncccc1C(=O)OC[C@H](O)CO
ZINC000000000172,Clc1ccc(C[C@H]2CC[C@@H]3CCCCN3C2)cc1
ZINC000000000173,CC(=O)Nc1ccc(O[C@H](O)C(Cl)(Cl)Cl)cc1
ZINC000000000174,CC(C)(C)NC[C@H](O)COc1cc(Cl)ccc1Cl
ZINC000000000175,Cc1ccccc1C(=N)NOCC1(C#N)CC1
ZINC000000000176,O[C@H](c1ccc(Cl)cc1)c1cc2ccccc2o1
ZINC000000000178,CC(C)NC[C@@H](O)c1ccccc1Cl
ZINC000000000179,CN(C)CC[C@@H]1c2ccc(Cl)cc2CCc2cccnc21
ZINC000000000180,CCOc1ccccc1NC(=O)CN1C[C@H]2C[C@H]1CN2C
ZINC000000000181,COC1=C[C@H]2[C@@H]3Cc4ccc(OC)c(O)c4[C@]2(CCN3C)CC1=O
ZINC000000000182,COc1ccc2c3c1O[C@@H]1[C@H](O)C=C[C@@H]4[C@@H](C2)[N+](C)([O-])CC[C@]314
ZINC000000000183,O[C@H]1CNC=Nc2c1ncn2Cc1cccc2ccccc12
ZINC000000000184,CC(C)(C)NC[C@H](O)c1ccc(O)c(O)c1
ZINC000000000185,C[C@@]12CCC(=O)C=C1CC[C@@H]1[C@@H]3CC[C@@H](C(=O)CO)[C@@]3(C)C[C@@H](O)[C@H]12
ZINC000000000186,COc1c2c(cc3c1[C@@H](O)N(C)CC3)OCO2
ZINC000000000187,COc1cc(O)c(C(=O)c2ccccc2)c(O)c1
ZINC000000000188,C[C@H](CN(C)C)CN1c2ccccc2Sc2ccc(C#N)cc21
ZINC000000000189,C[C@@H]1C[C@@H](OC(=O)[C@H](O)c2ccccc2)CC(C)(C)C1
ZINC000000000190,O=C1N=C(NC2CC2)O[C@H]1c1ccccc1
ZINC000000000191,CC(C)N1CCN(C(=O)[C@H]2CCCN2C(=O)c2cccc3[nH]ccc23)CC1
ZINC000000000192,CN(C)[C@H]1CCc2[nH]c3ccccc3c2C1
ZINC000000000193,C[C@](O)(CC(=O)O)C1CCCCC1
ZINC000000000194,CC[C@H](C(=O)O)C1(O)CCCCC1
ZINC000000000196,CN(C)CCOC(=O)[C@H](c1ccccc1)C1(O)CCCC1
ZINC000000000198,CC[N+]1(C)CC[C@H](OC(=O)[C@H](c2ccccc2)C2CCCC2)C1
ZINC000000000199,O[C@@](CCN1CCCCC1)(c1ccccc1)C1CCCC1
ZINC000000000200,CN(C)CC(=O)N1c2ccccc2Sc2ccccc21
ZINC000000000201,O[C@@](C1=NCCN1)(c1ccc(Cl)cc1)c1ccccn1
ZINC000000000202,CC1=Nc2ccccc2C[C@@H](c2ccccc2)N1C
ZINC000000000203,Cc1ccc(C)c(CN2C(=O)N[C@@]3(CCN(Cc4nc(C)cc(Cl)n4)C3)C2=O)c1
ZINC000000000207,O[C@H](Cn1ccnc1)c1ccc(CCc2ccccc2)cc1
ZINC000000000208,CC(=O)[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@H]3[C@H](O)C[C@@]21C
ZINC000000000209,CC(C)NC[C@@H](O)c1ccc(O)cc1
ZINC000000000210,C1CCC(C2(C3CCCCC3)OC[C@H]([C@@H]3CCCCN3)O2)CC1
ZINC000000000211,CC(=O)Nc1ccc(OC[C@H](O)CNC(C)C)c(C(C)=O)c1
ZINC000000000212,CN1C(=O)CCS(=O)(=O)[C@H]1c1ccc(Cl)c(Cl)c1
ZINC000000000213,c1ccc(Cn2cnc(-c3nc(CN4CCSCC4)no3)c2)cc1
ZINC000000000214,CCN(CC)CC(=O)N1c2ccccc2Sc2ccccc21
ZINC000000000215,CCN(CC)[C@@H](C)C(=O)c1ccccc1
ZINC000000000216,CCN(CC)[C@@H](C)C=C(c1cccs1)c1cccs1
ZINC000000000217,C[C@@H](C(=O)Nc1cc(-c2ccccc2)nn1-c1ccccc1)N(C)C
ZINC000000000219,CC[C@@H]1CN2CC[C@H]1C[C@H]2[C@@H](O)c1ccnc2ccc(OC)cc12
ZINC000000000220,CC[C@@H]1CN2CC[C@H]1C[C@@H]2[C@H](O)c1ccnc2ccc(OC)cc12
ZINC000000000221,Cn1cnc2c1c(=O)n(C[C@H](O)CO)c(=O)n2C
ZINC000000000222,O=C(c1ccccc1Br)N1CCN(C(=O)[C@@H]2COc3ccccc3O2)CC1
ZINC000000000223,COc1ccc2c(=O)c(C)c(-c3ccccc3)oc2c1CN(C)C
ZINC000000000224,CN1CC[C@](C)(CN2c3ccccc3Sc3ccccc32)C1
ZINC000000000226,CC(=O)Nc1ccc(C(=O)O)cc1
ZINC000000000229,CC1=C2CC[C@H]3[C@@H]([C@H](O)C[C@]4(C)[C@@H]3CC[C@@]4(C)O)[C@]2(C)CCC1=O
ZINC000000000230,C[C@@H](C=C(c1cccs1)c1cccs1)N(C)C
ZINC000000000231,CNC[C@@H](O)c1cc(OC)c(O)c(OC)c1
ZINC000000000232,CCN[C@@H](C)[C@@H](O)c1ccc(O)c(O)c1
ZINC000000000233,O=C(OCCN1CCCCC1)[C@@H](c1ccccc1)N1CCCCC1
ZINC000000000234,Cc1nc2ccccc2c(=O)n1C[C@H](O)CO
ZINC000000000235,C[C@H]1Oc2ccc(Cl)cc2N(C[C@H](O)CO)C1=O
ZINC000000000238,OC[C@H]1CO[C@H](CI)O1
ZINC000000000240,O=C1[C@H](O)N=C(c2ccccc2F)c2cc(Cl)ccc2N1CCO
ZINC000000000241,CN(C)[C@@H](c1cccnc1)C1COCOC1
ZINC000000000242,CN(C)CCO[C@@](C)(c1ccccc1)c1ccccn1
ZINC000000000243,CC(C)NC[C@@H](O)CC(c1ccccc1)c1ccccc1
ZINC000000000244,COc1ccc2c(c1OC)[C@]13CCN(C)[C@H](C2)[C@@]1(O)CC[C@H](O)C3
ZINC000000000245,Cc1cccc(C)c1NC(=O)[C@@H]1CCCCN1CCO
ZINC000000000246,CN(C)CCO[C@](C)(c1ccccc1)c1ccc(Br)cc1
ZINC000000000248,CC(=O)[C@@H]1CC[C@@H]2[C@H]3C[C@@H](C)C4=CC(=O)C=C[C@]4(C)[C@@H]3[C@H](O)C[C@@]12C
ZINC000000000249,C[C@@H]1O[C@]2(CCCC[C@@H]2Oc2cccc(Cl)c2)NC1=O
ZINC000000000250,CCc1ccc(C(=O)[C@H](C)CN2CCCCC2)cc1
ZINC000000000251,CCN1CCC[C@@H]1CNC(=O)C(O)(c1ccccc1)c1ccccc1
ZINC000000000252,C[C@@]12CC[C@H]3c4ccc(O)cc4CC[C@@H]3[C@H]1C[C@H](O)[C@@H]2O
